Name,Price,Rating,Brand,Gender,ProductType,Fragrance_family,Character,Ingredients,Concentration,Top_note,Middle_note,Base_note,Size,Year
Goutal Paris Rose Absolue EDP,1063 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Goutal Paris Petite Cherie EDP,569 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Goutal Paris Passion EDP,839 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Goutal Paris Ninfeo Mio EDT,701 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Goutal Paris Musc Nomade EDP,839 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Goutal Paris L’Ile au Thé EDT,488 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Goutal Paris Le Chevrefeuille EDT,488 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Goutal Paris La Violette EDT,701 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Goutal Paris Heure Exquise EDP,839 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Goutal Paris Grand Amour EDP,569 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Goutal Paris Gardenia Passion EDP,839 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Goutal Paris Étoile d'Une Nuit EDP,839 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Goutal Paris Eau du Sud EDT,488 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Goutal Paris Eau d'Hadrien EDT,488 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
